data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;latitude;longitude
2025-05-01 01:32:35.866;marcacao de ciclofaixa ao longo da via;INSTALADO;- 75MX02M - LOCALIZADO SOBRE O LG ERNESTO ORDOVAS, LIGANDO O LADO IMPAR PARA O PAR);2018-06-21;R MARIANTE;525;611.0;SIM;R LIBERDADE;PAR;DECRESCENTE;LEITO DA VIA     ;-30.032987423114108;-51.20399747975171
2025-05-01 01:32:35.874;marcacao de cruzamento rodocicloviario;INSTALADO;- MCC NO RETORNO DO FL. 01 PARA O FL. 02, EMBAIXO DO VIADUTO;2015-12-31;R MARIANTE;1076;1076.0;SIM;AV PROTASIO ALVES;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.03747243582021;-51.2040573055856
2025-05-01 01:32:35.940;marcacao de cruzamento rodocicloviario;INSTALADO;- 09MX02M;2016-01-30;AV ERICO VERISSIMO;911.0;911.0;NÃO;R VISCONDE DO HERVAL;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.05359962077292;-51.21855894103646
2025-05-01 01:32:35.949;marcacao de ciclofaixa ao longo da via;INSTALADO;- 85M DE CICLOFAIXA, SOBRE A CALÇADA;2017-04-15;AV DR NILO PECANHA;1342.0;1342.0;NÃO;AL SEBASTIAO DE BRITO;PAR;DECRESCENTE;LEITO DA VIA     ;-30.02865760960956;-51.17855757296639
2025-05-01 01:32:35.949;marcacao de ciclofaixa ao longo da via;INSTALADO;- 250M DE CICLOFAIXA, SOBRE A CALÇADA  EM FRENTE A UNISINOS + 10M NO CANTEIRO QUE PERTENCE AO CRUZAMENTO,;2017-04-15;AV DR NILO PECANHA;1500.0;1600.0;NÃO;AV SOCIEDADE LIBANESA;PAR;DECRESCENTE;LEITO DA VIA     ;-30.02780261774546;-51.17561250746804
2025-05-01 01:32:35.949;marcacao de ciclofaixa ao longo da via;INSTALADO;- 55M DE CICLOFAIXA, SOBRE A CALÇADA;2017-04-15;AV DR NILO PECANHA;1452.0;1452.0;NÃO;AL ALIPIO CESAR;PAR;DECRESCENTE;LEITO DA VIA     ;-30.02840934603985;-51.177608070975126
2025-05-01 01:32:35.986;marcacao de ciclofaixa ao longo da via;INSTALADO;- 100MX02M - SOBRE A CALÇADA;2012-05-15;ESTR JOAO ANTONIO SILVEIRA;2547.0;2549.0;NÃO;BC CECILIO MONZA;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.15315217731646;-51.13546955399216
2025-05-01 01:32:36.017;marcacao de cruzamento rodocicloviario;INSTALADO;- 15MX1,50M - INTERNAMENTE PREENCHIDO DE VERMELHO E NAS LATERAIS BRANCA;2013-08-29;AV CHUI;10.0;10.0;NÃO;AV PINHEIRO BORDA;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.010;marcacao de cruzamento rodocicloviario;INSTALADO;10X2 METROS - VERMELHA E BORDO BRANCO TRACEJADO- ENTRE PCA MONTEVIDEO E RUA SETE DE SETEMBRO;2013-01-25;PCA MONTEVIDEO;7.0;7.0;NÃO;R URUGUAI;NULO;NULO;LEITO DA VIA     ;-30.02856606774034;-51.22871705330909
2025-05-01 01:32:36.010;marcacao de ciclofaixa ao longo da via;INSTALADO;- 85X2 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R SETE DE SETEMBRO;604.0;666.0;NÃO;TRAV ARAUJO RIBEIRO;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.010;marcacao de ciclofaixa ao longo da via;INSTALADO;15X2METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;PCA MONTEVIDEO;7.0;25.0;SIM;R URUGUAI;PAR;NULO;LEITO DA VIA     ;-30.028496401949287;-51.22849174775184
2025-05-01 01:32:36.017;marcacao de cruzamento rodocicloviario;INSTALADO;- 15MX1,50M - INTERNAMENTE PREENCHIDO DE VERMELHO E NAS LATERAIS BRANCA;2013-08-29;AV CHUI;75.0;75.0;SIM;R IBICUI;PAR;DECRESCENTE;LEITO DA VIA     ;-30.08230301412194;-51.242832541520336
2025-05-01 01:32:36.017;marcacao de ciclofaixa ao longo da via;INSTALADO;- 130MX1,50M - INTERNAMENTE PREENCHIDO DE VERMELHO E NAS LATERAIS BRANCA;2013-08-29;AV CHUI;10.0;80.0;NÃO;AV PINHEIRO BORDA;PAR;DECRESCENTE;LEITO DA VIA     ;-30.08190922849568;-51.24348700051997
2025-05-01 01:32:36.017;marcacao de ciclofaixa ao longo da via;INSTALADO;- 215MX1,50M  - INTERNAMENTE PREENCHIDO DE VERMELHO E NAS LATERAIS BRANCA;2013-06-30;AV PADRE CACIQUE;3020.0;3146.0;NÃO;R ESTEVAO CRUZ;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.017;marcacao de ciclofaixa ao longo da via;INSTALADO;70 M DE CICLOVIA VERMELHO COM BORDA BRANCA (PARTE COM TACHOES);2013-06-10;AV CHUI;274.0;254.0;NÃO;R IBICUI;PAR;DECRESCENTE;LEITO DA VIA     ;-30.083032299956603;-51.24171942477916
